361976 U	S STAND	ARD							
2.70000 1	0	0  33.6	0000 11	6.44261	0	0.57	065   0	0	
									
WL	H2O	O3	MOLEC						
(NM)	TRANS	TRANS	SCAT						
536	1	0.9703	0.9111						
536.5	1	0.9703	0.9114						
537	1	0.9703	0.9117						
537.5	1	0.9702	0.912						
538	1	0.9701	0.9124						
538.5	0.9999	0.97	0.9127						
539	0.9999	0.9698	0.913						
539.5	0.9998	0.9696	0.9133						
540	0.9997	0.9694	0.9136						
540.5	0.9994	0.9691	0.9139						
541	0.999	0.9689	0.9142						
541.5	0.9989	0.9686	0.9145						
542	0.9991	0.9683	0.9149						
542.5	0.9993	0.968	0.9152						
543	0.9994	0.9676	0.9155						
543.5	0.9993	0.9673	0.9158						
544	0.9993	0.967	0.9161						
544.5	0.9994	0.9668	0.9164						
545	0.9994	0.9665	0.9167						
545.5	0.9993	0.9663	0.917						
546	0.9991	0.9661	0.9173						
546.5	0.9991	0.9659	0.9176						
547	0.9994	0.9657	0.9179						
547.5	0.9996	0.9655	0.9181						
548	0.9997	0.9654	0.9184						
548.5	0.9997	0.9652	0.9187						
549	0.9998	0.9651	0.919						
549.5	0.9998	0.965	0.9193						
550	0.9998	0.9648	0.9196						
550.5	0.9999	0.9646	0.9199						
551	0.9999	0.9645	0.9202						
551.5	0.9999	0.9643	0.9204						
552	0.9999	0.9641	0.9207						
552.5	1	0.9639	0.921						
553	1	0.9637	0.9213						
553.5	1	0.9634	0.9216						
554	1	0.9632	0.9218						
554.5	1	0.9629	0.9221						
555	1	0.9626	0.9224						
555.5	1	0.9623	0.9227						
556	1	0.9619	0.9229						
556.5	1	0.9616	0.9232						
557	1	0.9612	0.9235						
557.5	1	0.9608	0.9238						
558	1	0.9603	0.924						
558.5	1	0.9598	0.9243						
559	1	0.9594	0.9245						
559.5	1	0.9589	0.9248						
560	1	0.9584	0.9251						
560.5	1	0.9579	0.9253						
561	1	0.9574	0.9256						
561.5	1	0.9569	0.9259						
562	1	0.9564	0.9261						
562.5	1	0.9559	0.9264						
563	1	0.9554	0.9266						
563.5	1	0.955	0.9269						
564	1	0.9546	0.9271						
564.5	1	0.9542	0.9274						
565	1	0.9539	0.9276						
565.5	1	0.9536	0.9279						
566	1	0.9533	0.9281						
566.5	0.9999	0.9529	0.9284						
567	0.9998	0.9526	0.9286						
567.5	0.9996	0.9523	0.9289						
568	0.9992	0.9521	0.9291						
568.5	0.9984	0.9518	0.9294						
569	0.9979	0.9515	0.9296						
569.5	0.998	0.9512	0.9299						
570	0.9981	0.9509	0.9301						
570.5	0.9988	0.9506	0.9303						
571	0.9993	0.9504	0.9306						
571.5	0.9992	0.9501	0.9308						
572	0.9987	0.9499	0.9311						
572.5	0.9986	0.9498	0.9313						
573	0.9987	0.9496	0.9315						
573.5	0.9989	0.9496	0.9318						
574	0.9989	0.9495	0.932						
574.5	0.9988	0.9495	0.9322						
575	0.999	0.9496	0.9325						
575.5	0.9992	0.9497	0.9327						
576	0.9993	0.9498	0.9329						
576.5	0.9994	0.95	0.9331						
577	0.9994	0.9502	0.9334						
577.5	0.9994	0.9504	0.9336						
578	0.9996	0.9506	0.9338						
578.5	0.9997	0.9508	0.934						
579	0.9998	0.951	0.9343						
579.5	0.9998	0.9512	0.9345						
580	0.9999	0.9515	0.9347						
580.5	0.9999	0.9517	0.9349						
581	0.9999	0.9519	0.9352						
581.5	0.9999	0.9522	0.9354						
582	0.9999	0.9524	0.9356						
582.5	0.9999	0.9526	0.9358						
583	0.9998	0.9527	0.936						
583.5	0.9998	0.9529	0.9363						
584	0.9998	0.953	0.9365						
584.5	0.9997	0.9532	0.9367						
585	0.9997	0.9533	0.9369						
585.5	0.9996	0.9534	0.9371						
586	0.9994	0.9535	0.9373						
586.5	0.999	0.9535	0.9375						
587	0.9985	0.9535	0.9377						
587.5	0.9975	0.9535	0.938						
588	0.9955	0.9535	0.9382						
588.5	0.9922	0.9534	0.9384						
589	0.9893	0.9533	0.9386						
589.5	0.989	0.9533	0.9388						
590	0.9888	0.9531	0.939						
590.5	0.9904	0.9529	0.9392						
591	0.9922	0.9527	0.9394						
591.5	0.9913	0.9524	0.9396						
592	0.9892	0.9521	0.9398						
592.5	0.9902	0.9518	0.94						
593	0.9934	0.9515	0.9402						
593.5	0.9945	0.951	0.9404						
594	0.9919	0.9506	0.9406						
594.5	0.9884	0.9502	0.9408						
595	0.9902	0.9497	0.941						
595.5	0.9939	0.9493	0.9412						
596	0.9955	0.9488	0.9414						
596.5	0.9958	0.9483	0.9416						
597	0.9951	0.9478	0.9418						
597.5	0.9954	0.9474	0.9419						
598	0.9963	0.947	0.9421						
598.5	0.9972	0.9466	0.9423						
599	0.9975	0.9463	0.9425						
599.5	0.9979	0.9459	0.9427						
600	0.9984	0.9457	0.9429						
600.5	0.9989	0.9455	0.9431						
601	0.9993	0.9454	0.9433						
601.5	0.9995	0.9453	0.9435						
602	0.9996	0.9452	0.9436						
602.5	0.9998	0.9452	0.9438						
603	0.9999	0.9452	0.944						
603.5	0.9999	0.9454	0.9442						
604	0.9999	0.9455	0.9444						
604.5	1	0.9457	0.9446						
605	1	0.9459	0.9447						
605.5	1	0.9462	0.9449						
606	1	0.9465	0.9451						
606.5	1	0.9469	0.9453						
607	1	0.9473	0.9454						
607.5	1	0.9477	0.9456						
608	1	0.9481	0.9458						
608.5	1	0.9485	0.946						
609	1	0.949	0.9462						
609.5	1	0.9494	0.9463						
610	1	0.9499	0.9465						
610.5	1	0.9504	0.9467						
611	1	0.9508	0.9468						
611.5	1	0.9513	0.947						
612	1	0.9517	0.9472						
612.5	1	0.9521	0.9474						
613	1	0.9525	0.9475						
613.5	1	0.953	0.9477						
614	1	0.9534	0.9479						
614.5	1	0.9537	0.948						
615	1	0.9541	0.9482						
615.5	1	0.9545	0.9484						
616	1	0.9549	0.9485						
616.5	1	0.9552	0.9487						
617	1	0.9555	0.9489						
617.5	1	0.9559	0.949						
618	1	0.9562	0.9492						
618.5	1	0.9565	0.9494						
619	1	0.9568	0.9495						
619.5	1	0.9571	0.9497						
620	1	0.9573	0.9498						
620.5	1	0.9576	0.95						
621	1	0.9578	0.9502						
621.5	1	0.9581	0.9503						
622	1	0.9584	0.9505						
622.5	1	0.9586	0.9506						
623	1	0.9589	0.9508						
623.5	1	0.9591	0.951						
624	1	0.9593	0.9511						
624.5	1	0.9596	0.9513						
625	1	0.9598	0.9514						
625.5	0.9999	0.9601	0.9516						
626	0.9997	0.9604	0.9517						
626.5	0.9994	0.9606	0.9519						
627	0.9991	0.9609	0.952						
627.5	0.9986	0.9611	0.9522						
628	0.9982	0.9614	0.9523						
628.5	0.9983	0.9617	0.9525						
629	0.9986	0.962	0.9526						
629.5	0.9986	0.9623	0.9528						
630	0.999	0.9626	0.9529						
630.5	0.9996	0.9628	0.9531						
631	0.9996	0.9631	0.9532						
631.5	0.999	0.9634	0.9534						
632	0.9985	0.9637	0.9535						
632.5	0.9987	0.964	0.9537						
633	0.9991	0.9643	0.9538						
